diff_ht(cm),diff_age(y),diff_rank,diff_hand,surface_hard,target
-8,-12,-25,0,0,1
-13,-2,10,-1,1,0
-12,-2,-49,0,1,0
2,-6,-54,0,0,1
-10,-1,3,0,0,0
5,-3,-22,1,0,1
8,-2,21,0,1,0
0,5,28,0,1,1
-5,10,-57,0,1,1
5,12,-53,1,1,1
2,-5,34,0,1,0
5,-2,52,1,0,1
-3,7,17,0,1,0
3,-1,22,0,0,0
0,-14,32,0,1,0
12,2,41,0,1,0
2,3,10,0,1,1
-2,3,69,0,1,0
-8,3,111,0,1,0
-18,4,73,0,1,1
-5,-1,3,1,1,0
0,-6,-51,0,0,1
-3,-3,26,0,1,1
-10,0,27,-1,1,0
5,8,-57,0,0,1
-8,-12,17,0,1,0
-2,0,295,0,0,0
-3,-5,-5,0,0,0
8,-4,-53,0,1,0
0,-1,130,0,1,0
0,-12,-59,0,0,0
13,2,-34,0,0,1
-13,7,37,0,0,0
0,-1,23,-1,1,1
3,3,-96,1,0,1
-5,1,-52,-1,1,0
6,0,-456,0,1,1
2,-1,975,0,1,0
-13,-6,-4,0,1,1
0,1,-4,0,0,1
8,0,69,0,1,1
-5,5,26,0,1,1
11,12,217,0,1,0
16,-6,-6,0,0,1
5,1,-52,0,0,1
5,3,-58,0,1,0
3,3,-49,1,1,0
3,3,-30,-1,0,0
0,-1,-50,0,0,0
-5,2,-23,0,1,1
-2,-2,-8,0,1,0
5,-2,167,0,1,0
-11,2,54,0,0,0
-8,-6,-55,0,1,1
-8,4,35,0,1,1
2,-9,-48,0,0,0
-10,-1,-3,0,1,1
-13,0,71,0,0,1
3,-6,146,0,1,0
-11,6,3,-1,1,1
-2,5,-34,0,1,1
10,8,86,0,0,0
-5,3,84,0,1,0
6,-1,-133,-1,0,1
0,-9,68,0,1,0
-8,7,-24,-1,1,1
-5,-8,-10,-1,0,0
3,6,-50,-1,1,0
13,-6,-213,0,1,1
-13,0,25,0,1,1
13,-8,-52,0,0,1
5,0,31,0,1,0
10,7,-85,-1,0,1
2,-7,-51,0,0,1
5,2,16,0,0,1
0,3,-8,0,1,1
-3,-8,12,1,0,0
5,-7,-53,-1,0,1
6,-2,1,0,1,1
-15,-5,60,0,1,0
-8,-1,10,-1,1,1
-7,-14,17,0,1,1
3,15,-30,0,1,1
8,-6,103,0,1,0
11,-3,-50,0,0,1
8,3,28,0,1,0
7,2,-51,0,1,0
3,1,-4,0,0,0
5,-1,-27,1,1,1
8,0,-27,0,1,1
8,-9,-10,0,1,0
18,4,30,-1,0,0
3,-8,-40,0,0,1
-15,-3,-15,0,1,0
-3,2,42,0,1,0
-5,2,-17,0,1,1
