diff_ht(cm),diff_age(y),diff_rank,diff_hand,surface_hard,target
-3,4,-162,1,0,0
2,0,-295,0,0,1
18,13,-32,0,1,0
0,0,79,0,1,0
3,-12,-121,0,1,1
2,-1,-101,0,0,1
0,1,-63,0,1,0
2,4,36,0,1,0
0,-2,34,0,0,0
12,2,49,0,1,1
0,-6,265,0,0,0
-13,-2,-25,1,1,0
-3,-1,-14,-1,0,0
2,-7,-247,1,1,0
10,-4,-111,1,0,0
11,-4,-68,0,0,0
-16,4,21,0,0,1
-10,-3,32,0,1,1
-5,3,53,0,0,0
-5,-12,10,0,0,0
-8,2,9,1,0,1
10,1,2,0,0,1
-8,-3,-29,0,1,1
10,-1,-19,0,1,1
11,-6,-3,1,1,0
-15,-5,23,0,1,0
5,-1,-103,0,0,0
-5,-11,-23,0,0,1
-13,0,-21,0,0,0
5,1,-32,0,1,1
-10,-3,50,0,1,0
6,11,-225,0,0,0
8,-1,-37,0,1,1
0,-18,-41,0,1,1
13,-5,-73,-1,0,1
8,-2,-9,-1,0,0
3,3,25,0,0,1
-5,-3,50,0,1,0
-3,-10,40,0,0,0
20,3,-85,1,1,1
5,8,-89,0,1,0
18,-4,-66,0,0,1
-8,1,21,0,1,0
13,4,-53,0,1,1
0,-14,-68,0,0,1
-13,-1,-8,0,0,0
-11,-2,3,0,1,1
-8,9,-21,0,1,1
-5,-12,11,0,1,1
13,1,-13,0,1,1
-6,-8,-67,0,1,1
-5,-8,57,0,0,0
-13,3,26,0,1,0
13,2,-2,0,0,0
-10,-7,-31,1,1,0
-13,12,32,0,0,0
-2,2,-18,0,1,1
0,1,-37,-1,1,0
13,0,29,-1,0,0
-16,5,-10,0,1,1
10,3,-26,0,1,1
8,6,55,0,1,0
2,-5,25,0,0,1
5,0,43,0,1,1
0,-2,-104,0,0,1
13,4,49,0,0,0
3,1,3,0,1,0
0,0,71,-1,0,1
0,1,5,0,1,1
3,-1,46,1,1,0
-7,-14,-2,0,1,1
0,-5,-27,0,0,1
-2,-2,-88,1,1,1
-5,-1,12,0,1,1
13,4,-5,0,1,1
11,6,62,0,1,1
3,12,10,0,1,1
-2,11,55,-1,0,1
13,1,-12,0,0,0
-3,-1,778,0,1,1
-13,-6,113,0,1,0
-8,9,10,0,1,1
0,4,70,0,0,0
16,-4,-21,0,0,0
0,-1,57,0,1,0
-3,-10,-41,0,1,1
-15,3,60,0,1,0
5,1,41,0,1,0
-5,-1,5,0,1,0
10,0,-27,1,1,1
6,1,27,-1,1,0
0,-4,-70,0,0,1
-13,-4,50,0,1,1
0,-4,-57,0,0,0
-2,2,-14,0,0,1
10,-1,-65,0,0,1
-11,4,68,0,0,1
2,-11,-55,1,0,0
-6,-11,225,0,0,1
-6,0,-30,1,1,1
-8,8,29,1,1,1
-13,-7,-19,0,0,0
-5,-3,-79,0,0,1
5,-4,-92,0,0,1
5,4,-81,0,1,1
-21,1,34,-1,0,1
6,7,72,-1,1,0
0,-1,-8,0,0,1
-8,-5,-22,0,1,0
-13,5,34,-1,1,0
5,12,22,0,1,0
-8,-1,-5,-1,1,1
-3,11,46,0,1,1
13,-3,-26,0,1,1
0,-3,-142,1,0,0
0,3,-40,0,0,1
5,-3,-7,0,1,1
5,-3,-52,0,1,1
5,0,117,0,0,1
8,12,-17,0,1,1
13,6,-21,0,1,0
3,5,115,0,1,0
-3,-1,-1,0,1,1
-15,-1,85,0,0,0
-3,-1,-27,0,1,1
-5,5,-13,0,1,0
-3,0,59,1,1,0
-8,0,122,0,1,0
5,7,77,0,0,0
-8,-5,61,-1,1,0
5,8,10,1,0,1
13,-10,473,0,1,0
0,14,68,0,0,0
10,9,15,0,1,0
-13,-8,-42,0,0,1
-8,2,-21,0,1,1
-8,-1,-27,0,0,0
0,0,51,0,0,1
-8,7,4,1,0,1
-5,0,-115,0,1,0
7,-6,-86,0,0,1
-5,3,36,-1,0,0
-5,-10,-26,-1,1,0
-2,4,-88,0,0,0
-6,-7,-72,1,1,1
5,-4,-35,-1,1,0
0,7,-8,1,1,0
-11,-5,24,0,1,0
0,-1,73,0,1,0
-3,-6,-18,0,1,0
-8,0,-69,0,1,0
8,0,-9,0,0,1
-8,0,9,0,0,0
-3,8,122,0,1,0
-2,2,-454,0,1,1
8,0,-10,0,1,1
7,14,2,0,1,0
2,3,3,0,1,0
8,-1,-93,0,0,1
10,-8,-66,0,0,0
-5,-4,31,-1,1,1
0,0,14,0,1,1
-2,-3,46,0,1,1
8,-1,-21,0,1,1
-13,5,30,0,1,0
2,-3,22,0,0,1
10,1,-14,1,0,0
6,0,-7,0,1,1
10,6,1009,0,0,0
2,11,34,0,0,0
-10,-9,-76,0,0,0
13,6,-113,0,1,1
0,1,-23,0,0,1
-3,-3,96,-1,0,0
5,-9,-51,1,1,1
-13,-4,87,0,1,0
6,-5,-220,0,1,0
-7,2,40,-1,0,1
-5,4,55,0,0,1
3,5,5,0,0,1
15,-5,-83,0,1,1
13,8,42,0,0,0
3,1,27,1,1,0
13,-9,-13,1,1,1
0,-5,-28,0,1,0
-5,-9,30,0,1,1
-2,-13,-501,1,0,0
0,1,-4,0,1,1
2,4,-6,0,0,1
0,9,-63,-1,1,1
-18,4,66,0,0,0
2,13,10,0,1,0
2,2,35,0,1,0
0,-2,-101,-1,0,1
10,8,13,0,1,1
2,11,56,0,1,0
0,5,41,1,0,1
0,-3,77,0,0,1
13,-1,116,1,0,0
-2,-6,18,0,1,1
5,-10,-36,0,0,1
-13,6,311,0,1,0
-6,1,46,0,0,1
-10,2,50,-1,0,0
10,-6,-7,0,1,0
